Pokemon,VGCusage2022,VGCusage2023,VGCusage2024
sandile,0.0,0.0,0.0
meowth-alola,0.0,0.0,0.0
pancham,0.0,,
karrablast,0.0,,
kabuto,0.0,,
helioptile,0.0,,
goomy,0.0,0.0,0.0
hakamo-o,0.0,0.0,0.0
munna,0.0,,
palpitoad,0.0,,
skwovet,0.0,0.0,0.0
meowth-galar,0.0,0.0,0.0
tranquill,0.0,,
drilbur,0.0,,0.0
golett,0.0,,0.0
seadra,0.0,,0.0
skorupi,0.0,,
gible,0.0,0.0,0.0
hoothoot,0.0,0.0,0.0
nincada,0.0,,
horsea,0.0,,0.0
petilil,0.0,0.0,0.0
gossifleur,0.0,,
vullaby,0.0,0.0,0.0
nidorina,0.0,,
axew,0.0,0.0,0.0
stunky,0.0,0.0,0.0
pumpkaboo-small,0.0,,
hatenna,0.0,0.0,0.0
steenee,0.0,0.0,0.0
dreepy,0.0,0.0,0.0
loudred,0.0,,
pupitar,0.0,0.0,0.0
nidorino,0.0,,
tympole,0.0,,
rolycoly,0.0,0.0,0.0
noibat,0.0,0.0,0.0
flutter-mane,,48.26432,59.4371
iron-hands,,40.0502,7.43518
iron-bundle,,35.91122,1.95625
gholdengo,,27.27998,8.18848
tatsugiri,,20.08095,8.95051
dondozo,,20.03772,9.41108
roaring-moon,,19.51311,3.09517
armarouge,,17.40954,1.51837
kingambit,,16.70045,6.41698
brute-bonnet,,16.4189,0.22432
great-tusk,,14.98693,0.12689
garganacl,,14.18784,0.37378
maushold,,10.07058,0.60788
annihilape,,8.87721,2.36712
meowscarada,,8.53101,0.16802
murkrow,,7.86464,0.17628
iron-moth,,7.25799,0.10848
sandy-shocks,,6.73651,0.108
baxcalibur,,5.99188,1.1033
palafin,,5.58393,0.2011
farigiraf,,5.38049,16.52409
glimmora,,4.9265,10.145
tauros-paldea-aqua,,4.7291,0.03032
scream-tail,,4.08466,0.96318
ceruledge,,2.39073,0.09082
espathra,,2.31616,0.11137
pawmot,,2.10739,0.02016
iron-jugulis,,1.43599,0.17188
iron-valiant,,1.41107,0.31759
tauros-paldea-blaze,,1.3573,0.02578
hariyama,,1.18322,0.06518
skeledirge,,1.12313,0.05681
tinkaton,,0.88283,0.75995
iron-treads,,0.78566,0.04898
iron-thorns,,0.77294,0.01672
kilowattrel,,0.75108,0.04445
breloom,,0.70696,0.04988
slither-wing,,0.69744,0.03125
jumpluff,,0.54504,0.159
bellibolt,,0.49754,0.02813
orthworm,,0.42344,0.33401
vivillon,,0.0,0.01279
quaquaval,,0.34212,0.01712
cetitan,,0.30966,0.01949
arboliva,,0.28651,0.02878
floatzel,,0.28577,0.0029
toedscruel,,0.26261,0.0115
houndstone,,0.24959,0.05901
scovillain,,0.2182,0.01557
flamigo,,0.18744,0.79832
clodsire,,0.1807,0.04868
cyclizar,,0.16547,0.00631
dachsbun,,0.15557,0.01069
rabsca,,0.15032,0.03631
medicham,,0.13938,0.03728
bruxish,,0.12585,0.25373
electrode,,0.10801,0.00041
staraptor,,0.08793,0.06327
grafaiai,,0.08563,0.02028
dudunsparce,,0.06809,0.03704
oricorio-sensu,,0.06746,0.02978
eelektross,,0.06318,0.00403
slaking,,0.05882,0.02083
oricorio-pom-pom,,0.05796,0.00786
mismagius,,0.05532,0.00167
tropius,,0.05184,0.00319
ursaring,,0.0508,2e-05
squawkabilly,,0.05076,0.00686
lokix,,0.04147,0.00223
pachirisu,,0.03379,0.01436
revavroom,,0.03304,0.00318
brambleghast,,0.03142,0.08574
florges,,0.02937,0.054
ampharos,,0.0258,0.00596
bombirdier,,0.01862,0.00145
camerupt,,0.01802,0.00746
sunflora,,0.00056,0.00112
masquerain,,0.01418,0.00334
donphan,,0.01344,0.00062
stantler,,0.01101,0.00425
hypno,,0.00997,0.0
muk,,0.00064,0.00015
crabominable,,0.0092,0.01238
alomomola,,0.00816,0.00376
honchkrow,,0.00727,0.00165
sawsbuck,,0.0072,0.00345
lumineon,,0.0063,0.01829
forretress,,0.00501,0.00282
cacturne,,0.00493,0.00021
mabosstiff,,0.00471,8e-05
venomoth,,0.00453,0.00016
houndoom,,0.00433,0.00058
girafarig,,0.0,0.00093
toedscool,,8e-05,0.00016
misdreavus,,0.00276,0.0111
wugtrio,,0.00257,0.00134
swalot,,0.0,0.0
skiploom,,0.0,0.0
sprigatito,,0.0,0.0
spidops,,0.0008,0.00124
veluza,,0.0017,0.00275
primeape,,0.00163,0.00747
eelektrik,,0.0,0.0
oricorio,,0.00101,0.00142
vigoroth,,0.0,0.0
klawf,,0.00087,2e-05
komala,,0.00073,0.0
pyroar,,0.0007,6e-05
banette,,0.00069,7e-05
grumpig,,0.0006,0.00121
oinkologne-f,,0.0,1e-05
venonat,,0.0,0.0
bramblin,,0.0,0.0
oricorio-pa'u,,0.0,2e-05
gogoat,,0.00044,0.00162
zangoose,,0.00043,2e-05
spewpa,,0.0,0.0
finizen,,0.0,0.0
crocalor,,0.0,0.0
floragato,,0.0,0.0
gumshoos,,3e-05,0.0
tandemaus,,0.0,0.0
oinkologne,,0.0,1e-05
numel,,0.0,1e-05
tauros-paldea-combat,,0.0,2e-05
charcadet,,0.0,0.0
naclstack,,0.0,0.0
kricketune,,0.0,0.0
shroodle,,0.0,0.0
wooper-paldea,,0.0,0.0
cetoddle,,0.0,0.0
glimmet,,0.0,0.0
gimmighoul,,0.0,0.0
meditite,,0.0,0.0
phanpy,,0.0,0.0
seviper,,0.0,0.0
sunkern,,0.0,0.0
shroomish,,0.0,0.0
fidough,,0.0,0.0
surskit,,0.0,0.0
wattrel,,0.0,0.0
makuhita,,0.0,0.0
drowzee,,0.0,0.0
skiddo,,0.0,0.0
lechonk,,0.0,0.0
maschiff,,0.0,0.0
varoom,,0.0,0.0
frigibax,,0.0,0.0
gulpin,,0.0,0.0
mareep,,0.0,0.0
mankey,,0.0,0.0
fuecoco,,0.0,0.0
tinkatink,,0.0,0.0
smoliv,,0.0,0.0
quaxly,,0.0,0.0
arctibax,,0.0,0.0
luvdisc,,0.0,1e-05
spoink,,0.0,0.0
dolliv,,0.0,0.0
finneon,,0.0,0.0
floette,,0.0,0.0
buizel,,0.0,0.0
staravia,,0.0,0.0
starly,,0.0,0.0
pineco,,0.0,0.0
flaaffy,,0.0,0.0
voltorb,,0.0,0.0
teddiursa,,0.0,0.0
pawmo,,0.0,0.0
pawmi,,0.0,0.0
rellor,,0.0,0.0
grimer,,0.0,0.0
cacnea,,0.0,0.0
flittle,,0.0,0.0
tadbulb,,0.0,0.0
yungoos,,0.0,0.0
litleo,,0.0,0.0
greavard,,0.0,0.0
nacli,,0.0,0.0
deerling,,0.0,0.0
tinkatuff,,0.0,0.0
tynamo,,0.0,0.0
